seed,n,q,p,K,tau,rho,B_jml_norm,B_coil_norm,Pi_jml_norm,Pi_coil_norm,Gamma_jml_norm,Gamma_coil_norm,jml_time,coil_time,cvx_optimal,loss,niter
60,300,100,2,2,0.2,0.5,5248.228106683293,2.490732761920217,1946.3700561789747,20.955020270223336,20.479826389703756,20.479845748128525,12948.244183667935,1269.7264532456174,optimal,14358.060717563121,64
61,300,100,2,2,0.2,0.5,1024.3375269906448,2.686310542184935,729.3535434455246,20.83881560811153,20.537693748980896,20.427194448616397,4064.6265815179795,1059.1758828964084,optimal,14244.994459346479,32
62,300,100,2,2,0.2,0.5,1308.7643740082933,3.3706835490749967,1030.4545437558818,20.6098380092791,21.773428339471206,21.775374010723223,27901.215005883947,874.6027288101614,optimal,14043.078161637643,47
63,300,100,2,2,0.2,0.5,1185.6782326662676,2.3927424705629914,964.1410530734419,21.07458490286127,19.775491646886245,19.775433143693203,13687.320788591169,685.2006228594109,optimal,14139.449567052274,31
64,300,100,2,2,0.2,0.5,1171.1216588029317,3.1858258968429514,895.7397050986027,21.310204490230355,19.676892509443853,19.674834794261056,10222.015952955,1150.635330378078,optimal,14600.227934559374,34
65,300,100,2,2,0.2,0.5,2877.2612173816315,2.920419582598699,1221.4698605050112,21.217746698432368,18.532875060197263,19.401534974028756,5305.985171686858,1118.0871540810913,optimal,14930.363275284848,120
66,300,100,2,2,0.2,0.5,2711.2934333497597,3.469689067990199,1425.6012670860262,21.43485982112571,18.806090052815822,18.806135744951202,9523.768334927969,1141.9287138078362,optimal,15015.661945154125,43
67,300,100,2,2,0.2,0.5,1326.5366881936739,2.9677653854575343,913.4527363156235,20.525710399498358,22.478676881598247,22.47659178452048,15783.165623520501,975.0353847295046,optimal,13942.417429791985,23
68,300,100,2,2,0.2,0.5,2189.2351435648698,2.933434126759937,1297.8634973485803,21.227098622034855,19.397135153953954,19.396937089103858,21955.414589727297,1059.1486265128478,optimal,14528.510940823238,52
69,300,100,2,2,0.2,0.5,3772.344691509331,3.5297805910552915,1397.2251531022364,21.09703626999317,21.559837414352284,20.391801140151,5930.33056815993,956.9724671021104,optimal,14594.363561009754,223
70,300,100,2,2,0.2,0.5,754.8619088710442,3.0168542965946856,631.9740938721355,20.07498894182073,23.54323784875977,23.13943813969024,12104.400621313602,1174.0516160149127,optimal,14064.031662480847,25
71,300,100,2,2,0.2,0.5,1599.4685148257083,2.9202959699260806,1137.807228115929,20.66938897428095,20.72637731027962,20.7245796028207,14813.855975392275,1203.0869063166901,optimal,14492.458753797604,29
72,300,100,2,2,0.2,0.5,1116.7865523325347,2.9757136371897164,841.654932446969,22.348951535558953,16.457766641262705,16.458482985723144,10797.967080190778,1006.6114556547254,optimal,15119.673820662363,25
73,300,100,2,2,0.2,0.5,1242.3219394120042,3.433194509463694,967.8834750394325,21.415832493747004,21.30974818939151,21.310019249011816,17166.02290091943,989.0238092597574,optimal,14442.73038617354,30
74,300,100,2,2,0.2,0.5,1321.08471556654,2.8007253072451967,920.0898901119391,21.322744237101443,20.54904370216,20.54896133667882,18070.259575648233,1226.3798152720556,optimal,14380.744250728198,38
75,300,100,2,2,0.2,0.5,1224.8703183441216,2.384721480580365,792.7248170206718,20.516726770862423,22.925309965745676,22.835844604912726,9836.820739781484,1160.8523977780715,optimal,13719.112213504342,18
76,300,100,2,2,0.2,0.5,1412.5023361664544,3.1146093871902187,1015.8260885286008,21.6988874006939,19.696464240215523,19.696207359728486,17502.619047601707,1118.1118303528056,optimal,14278.809944823806,40
77,300,100,2,2,0.2,0.5,2090.9819255440375,2.9829908347767016,1170.238173336091,20.753274693227223,21.677778572765735,21.677495449019247,10936.77390998602,808.8020007191226,optimal,13798.222862389122,54
78,300,100,2,2,0.2,0.5,1249.159659708547,2.889263144322189,909.614476943393,21.26312901969691,19.425621317833,19.42579066725359,18571.722348797135,1046.2891502501443,optimal,14614.07530657456,34
79,300,100,2,2,0.2,0.5,3494.6280958432603,2.6638892038916246,1581.3424659042048,20.644915810007777,22.22162703015847,22.219847226383937,17742.76779679861,547.2287036264315,optimal,14133.312327683865,51
80,300,100,2,2,0.2,0.5,1709.6232002453216,2.1466881816047936,939.2258388710056,20.619726549314255,22.49907495826571,21.80905312727487,15004.74648948852,1076.7078432710841,optimal,14141.435456973704,40
81,300,100,2,2,0.2,0.5,1949.9532807913602,2.4512894108199808,1131.2862334710514,20.90240059591322,20.209248810618263,20.20909485405165,14776.230518287048,581.4061442362145,optimal,14618.231546225084,38
82,300,100,2,2,0.2,0.5,2017.0993026917315,2.255404818295838,1140.6235333698323,19.86301213843837,24.14766578376542,24.1455821413763,26538.25715383701,860.0594051992521,optimal,13446.235494114659,50
83,300,100,2,2,0.2,0.5,3705.615007938474,2.4423491155135904,1396.4561506811258,19.96060538157498,23.317018353226555,23.317075710766012,32901.61574232392,74.6804264606908,optimal,13934.667310592886,39
