seed,n,q,p,K,tau,rho,B_jml_norm,B_coil_norm,Pi_jml_norm,Pi_coil_norm,Gamma_jml_norm,Gamma_coil_norm,jml_time,coil_time,cvx_optimal,loss,niter
48,300,100,2,2,0.2,0.5,2464.926433431235,2.062029168801358,1130.7446100108643,21.28415266757463,19.616523755080237,20.20508377354726,9236.237075181678,1299.2050364464521,optimal,14711.420175539923,67
49,300,100,2,2,0.2,0.5,2739.1207006911086,2.683014318665999,1194.0290663834653,21.73599487584894,19.53219025044717,18.82925373730316,7793.533315367997,1146.5993923004717,optimal,14895.733492048152,68
50,300,100,2,2,0.2,0.5,1430.725941263551,2.8926215793714816,1038.8914100121049,21.49280780095129,20.161550107242988,20.16178030306096,27699.423628616147,1324.2940503852442,optimal,14521.931859325156,43
51,300,100,2,2,0.2,0.5,1866.4585158540092,3.3040947564269043,986.3417111744452,20.903336602776125,19.600988592286036,20.39220046381212,15383.267121985555,1233.4551838925108,optimal,14600.559962566029,57
52,300,100,2,2,0.2,0.5,1160.8853698723608,2.2545085652058736,779.2031123657786,20.14320481066715,22.382051535670648,22.191400714894712,9202.956618404947,1552.11577580031,optimal,14356.842948202795,35
53,300,100,2,2,0.2,0.5,1900.7322938950913,2.0830661492313074,990.3955594140041,20.92283504395696,19.611627906813005,20.25876031414884,10900.696763117798,1279.8290990944952,optimal,14674.91311753917,41
54,300,100,2,2,0.2,0.5,2032.8461685026532,3.082737090701894,1178.6934792850182,21.115118440043602,19.846171628875037,19.843576370771967,13137.777210067958,1254.8134502908215,optimal,14795.677730056148,48
55,300,100,2,2,0.2,0.5,3139.2798973329886,2.521781550689073,1273.9021995204628,20.983444242222888,21.021367081130023,20.97559176723298,6441.921674394049,1247.6351687852293,optimal,14423.859352517899,105
56,300,100,2,2,0.2,0.5,1032.189112281495,2.900028809052215,869.6226506470862,21.072603449713633,20.83351596936284,20.83358527991013,39360.64778001513,1095.1538697686046,optimal,14291.817536087638,29
57,300,100,2,2,0.2,0.5,1989.3575009268227,2.1204760386855037,1010.9502032807992,20.871904492160613,21.87330718421349,21.35920155326805,13299.038273883983,1051.6812120545655,optimal,14300.094413836747,30
